time_window,src_ip,dst_ip,event_count,mean_score,max_score,dominant_type,unique_types,first_case_id,last_case_id,severity,src_community,dst_community,same_community
26,192.168.1.30,192.168.1.190,154,1.0,1.0,ddos,ddos,CASE_00005255,CASE_00005366,0.931,2,3,0
26,192.168.1.30,192.168.1.194,20,1.0,1.0,ddos,ddos,CASE_00005221,CASE_00005412,0.73,2,2,1
27,192.168.1.30,192.168.1.1,29,1.0,1.0,ddos,ddos,CASE_00005405,CASE_00005526,0.7435,2,3,0
27,192.168.1.30,192.168.1.184,7,1.0,1.0,ddos,ddos,CASE_00005424,CASE_00005534,0.7104999999999999,2,3,0
27,192.168.1.30,192.168.1.190,164,1.0,1.0,ddos,ddos,CASE_00005391,CASE_00005589,0.946,2,3,0
28,192.168.1.30,192.168.1.1,66,1.0,1.0,ddos,ddos,CASE_00005639,CASE_00005823,0.7989999999999999,2,3,0
28,192.168.1.30,192.168.1.184,1,1.0,1.0,ddos,ddos,CASE_00005824,CASE_00005824,0.7015,2,3,0
28,192.168.1.30,192.168.1.190,132,1.0,1.0,ddos,ddos,CASE_00005590,CASE_00005838,0.8979999999999999,2,3,0
28,192.168.1.30,192.168.1.195,1,1.0,1.0,ddos,ddos,CASE_00005837,CASE_00005837,0.7015,2,4,0
29,192.168.1.30,192.168.1.1,71,1.0,1.0,ddos,ddos,CASE_00005828,CASE_00006010,0.8065,2,3,0
29,192.168.1.30,192.168.1.184,3,1.0,1.0,ddos,ddos,CASE_00005825,CASE_00005827,0.7044999999999999,2,3,0
29,192.168.1.30,192.168.1.190,109,1.0,1.0,ddos,ddos,CASE_00005863,CASE_00006021,0.8634999999999999,2,3,0
29,192.168.1.30,192.168.1.195,17,1.0,1.0,ddos,ddos,CASE_00005867,CASE_00006022,0.7255,2,4,0
30,192.168.1.30,192.168.1.1,139,1.0,1.0,ddos,ddos,CASE_00006011,CASE_00006197,0.9085000000000001,2,3,0
30,192.168.1.30,192.168.1.190,52,1.0,1.0,ddos,ddos,CASE_00006031,CASE_00006214,0.778,2,3,0
30,192.168.1.30,192.168.1.195,9,1.0,1.0,ddos,ddos,CASE_00006062,CASE_00006174,0.7135,2,4,0
31,192.168.1.30,176.28.50.165,3,1.0,1.0,ddos,ddos,CASE_00006378,CASE_00006397,0.7044999999999999,2,3,0
31,192.168.1.30,192.168.1.1,125,1.0,1.0,ddos,ddos,CASE_00006198,CASE_00006432,0.8875,2,3,0
31,192.168.1.30,192.168.1.190,51,1.0,1.0,ddos,ddos,CASE_00006247,CASE_00006442,0.7765,2,3,0
31,192.168.1.30,192.168.1.194,1,1.0,1.0,ddos,ddos,CASE_00006360,CASE_00006360,0.7015,2,2,1
31,192.168.1.30,192.168.1.195,19,1.0,1.0,ddos,ddos,CASE_00006252,CASE_00006440,0.7284999999999999,2,4,0
31,192.168.1.38,52.59.177.21,1,1.0,1.0,ddos,ddos,CASE_00006297,CASE_00006297,0.7015,1,1,1
32,192.168.1.30,176.28.50.165,2,1.0,1.0,ddos,ddos,CASE_00006530,CASE_00006627,0.7030000000000001,2,3,0
32,192.168.1.30,192.168.1.1,126,1.0,1.0,ddos,ddos,CASE_00006433,CASE_00006607,0.889,2,3,0
32,192.168.1.30,192.168.1.190,31,1.0,1.0,ddos,ddos,CASE_00006435,CASE_00006635,0.7464999999999999,2,3,0
32,192.168.1.30,192.168.1.194,24,1.0,1.0,ddos,ddos,CASE_00006430,CASE_00006616,0.736,2,2,1
32,192.168.1.30,192.168.1.195,16,1.0,1.0,ddos,ddos,CASE_00006434,CASE_00006622,0.724,2,4,0
32,192.168.1.38,52.59.177.21,1,1.0,1.0,ddos,ddos,CASE_00006511,CASE_00006511,0.7015,1,1,1
33,192.168.1.30,176.28.50.165,1,1.0,1.0,ddos,ddos,CASE_00006741,CASE_00006741,0.7015,2,3,0
33,192.168.1.30,192.168.1.1,75,1.0,1.0,ddos,ddos,CASE_00006608,CASE_00006831,0.8125,2,3,0
33,192.168.1.30,192.168.1.184,10,1.0,1.0,ddos,ddos,CASE_00006651,CASE_00006830,0.7150000000000001,2,3,0
33,192.168.1.30,192.168.1.190,24,1.0,1.0,ddos,ddos,CASE_00006695,CASE_00006816,0.736,2,3,0
33,192.168.1.30,192.168.1.194,16,1.0,1.0,ddos,ddos,CASE_00006614,CASE_00006678,0.724,2,2,1
33,192.168.1.30,192.168.1.195,7,1.0,1.0,ddos,ddos,CASE_00006653,CASE_00006825,0.7104999999999999,2,4,0
33,192.168.1.31,192.168.1.1,1,1.0,1.0,ddos,ddos,CASE_00006715,CASE_00006715,0.7015,1,3,0
33,192.168.1.31,192.168.1.152,36,1.0,1.0,ddos,ddos,CASE_00006649,CASE_00006771,0.754,1,3,0
33,192.168.1.32,176.28.50.165,2,1.0,1.0,xss,xss,CASE_00038015,CASE_00038016,0.7030000000000001,3,3,1
33,192.168.1.32,18.194.169.124,3,1.0,1.0,xss,xss,CASE_00038030,CASE_00038013,0.7044999999999999,3,3,1
33,192.168.1.32,192.168.1.1,6,1.0,1.0,xss,xss,CASE_00038017,CASE_00038014,0.7090000000000001,3,3,1
33,192.168.1.32,192.168.1.190,8,1.0,1.0,xss,xss,CASE_00038023,CASE_00038002,0.712,3,3,1
33,192.168.1.32,192.168.1.195,4,1.0,1.0,xss,xss,CASE_00038008,CASE_00038011,0.706,3,4,0
33,192.168.1.32,52.28.231.150,7,1.0,1.0,xss,xss,CASE_00038026,CASE_00038006,0.7104999999999999,3,3,1
34,192.168.1.30,176.28.50.165,2,1.0,1.0,ddos,ddos,CASE_00006858,CASE_00006903,0.7030000000000001,2,3,0
34,192.168.1.30,192.168.1.1,28,1.0,1.0,ddos,ddos,CASE_00006857,CASE_00007014,0.742,2,3,0
34,192.168.1.30,192.168.1.184,60,1.0,1.0,ddos,ddos,CASE_00006808,CASE_00007008,0.79,2,3,0
34,192.168.1.30,192.168.1.190,19,1.0,1.0,ddos,ddos,CASE_00006817,CASE_00007009,0.7284999999999999,2,3,0
34,192.168.1.30,192.168.1.194,3,1.0,1.0,ddos,ddos,CASE_00006859,CASE_00007016,0.7044999999999999,2,2,1
34,192.168.1.30,192.168.1.195,8,1.0,1.0,ddos,ddos,CASE_00006853,CASE_00007010,0.712,2,4,0
34,192.168.1.31,192.168.1.1,9,1.0,1.0,ddos,ddos,CASE_00006860,CASE_00006943,0.7135,1,3,0
34,192.168.1.31,192.168.1.152,24,1.0,1.0,ddos,ddos,CASE_00006800,CASE_00007017,0.736,1,3,0
34,192.168.1.31,192.168.1.184,38,1.0,1.0,ddos,ddos,CASE_00006928,CASE_00006995,0.7569999999999999,1,3,0
34,192.168.1.31,192.168.1.190,8,1.0,1.0,ddos,ddos,CASE_00006970,CASE_00007025,0.712,1,3,0
34,192.168.1.38,52.59.177.21,1,1.0,1.0,ddos,ddos,CASE_00006890,CASE_00006890,0.7015,1,1,1
35,192.168.1.30,176.28.50.165,1,1.0,1.0,ddos,ddos,CASE_00007127,CASE_00007127,0.7015,2,3,0
35,192.168.1.30,192.168.1.1,26,1.0,1.0,ddos,ddos,CASE_00007051,CASE_00007237,0.7390000000000001,2,3,0
35,192.168.1.30,192.168.1.184,23,1.0,1.0,ddos,ddos,CASE_00007001,CASE_00007197,0.7344999999999999,2,3,0
35,192.168.1.30,192.168.1.190,14,1.0,1.0,ddos,ddos,CASE_00007047,CASE_00007248,0.7210000000000001,2,3,0
35,192.168.1.30,192.168.1.194,20,1.0,1.0,ddos,ddos,CASE_00007053,CASE_00007251,0.73,2,2,1
35,192.168.1.30,192.168.1.195,7,1.0,1.0,ddos,ddos,CASE_00007000,CASE_00007247,0.7104999999999999,2,4,0
35,192.168.1.31,192.168.1.1,8,1.0,1.0,ddos,ddos,CASE_00006997,CASE_00007195,0.712,1,3,0
35,192.168.1.31,192.168.1.184,87,1.0,1.0,ddos,ddos,CASE_00006996,CASE_00007192,0.8305,1,3,0
35,192.168.1.31,192.168.1.190,13,1.0,1.0,ddos,ddos,CASE_00007060,CASE_00007169,0.7195,1,3,0
35,192.168.1.31,192.168.1.194,1,1.0,1.0,ddos,ddos,CASE_00007168,CASE_00007168,0.7015,1,2,0
36,192.168.1.30,192.168.1.1,29,1.0,1.0,ddos,ddos,CASE_00007228,CASE_00007382,0.7435,2,3,0
36,192.168.1.30,192.168.1.184,41,1.0,1.0,ddos,ddos,CASE_00007238,CASE_00007404,0.7615000000000001,2,3,0
36,192.168.1.30,192.168.1.194,7,1.0,1.0,ddos,ddos,CASE_00007229,CASE_00007439,0.7104999999999999,2,2,1
36,192.168.1.30,192.168.1.195,4,1.0,1.0,ddos,ddos,CASE_00007221,CASE_00007351,0.706,2,4,0
36,192.168.1.31,192.168.1.1,46,1.0,1.0,ddos,ddos,CASE_00007235,CASE_00007441,0.7689999999999999,1,3,0
36,192.168.1.31,192.168.1.152,1,1.0,1.0,ddos,ddos,CASE_00007255,CASE_00007255,0.7015,1,3,0
36,192.168.1.31,192.168.1.184,39,1.0,1.0,ddos,ddos,CASE_00007231,CASE_00007393,0.7585,1,3,0
36,192.168.1.31,192.168.1.194,1,1.0,1.0,ddos,ddos,CASE_00007359,CASE_00007359,0.7015,1,2,0
36,192.168.1.31,192.168.1.195,1,1.0,1.0,ddos,ddos,CASE_00007395,CASE_00007395,0.7015,1,4,0
36,192.168.1.32,176.28.50.165,2,1.0,1.0,xss,xss,CASE_00037972,CASE_00037973,0.7030000000000001,3,3,1
36,192.168.1.32,18.194.169.124,3,1.0,1.0,xss,xss,CASE_00037969,CASE_00037971,0.7044999999999999,3,3,1
36,192.168.1.32,192.168.1.1,8,1.0,1.0,xss,xss,CASE_00037983,CASE_00037967,0.712,3,3,1
36,192.168.1.32,192.168.1.152,8,1.0,1.0,xss,xss,CASE_00037975,CASE_00037974,0.712,3,3,1
36,192.168.1.32,192.168.1.190,10,1.0,1.0,xss,xss,CASE_00037991,CASE_00037990,0.7150000000000001,3,3,1
37,192.168.1.30,176.28.50.165,2,1.0,1.0,ddos,ddos,CASE_00007535,CASE_00007581,0.7030000000000001,2,3,0
37,192.168.1.30,192.168.1.1,4,1.0,1.0,ddos,ddos,CASE_00007434,CASE_00007590,0.706,2,3,0
37,192.168.1.30,192.168.1.184,27,1.0,1.0,ddos,ddos,CASE_00007435,CASE_00007612,0.7404999999999999,2,3,0
37,192.168.1.30,192.168.1.194,6,1.0,1.0,ddos,ddos,CASE_00007465,CASE_00007536,0.7090000000000001,2,2,1
37,192.168.1.30,192.168.1.195,5,1.0,1.0,ddos,ddos,CASE_00007437,CASE_00007589,0.7075,2,4,0
37,192.168.1.31,176.28.50.165,2,1.0,1.0,ddos,ddos,CASE_00007458,CASE_00007569,0.7030000000000001,1,3,0
37,192.168.1.31,192.168.1.1,86,1.0,1.0,ddos,ddos,CASE_00007431,CASE_00007628,0.829,1,3,0
37,192.168.1.31,192.168.1.152,24,1.0,1.0,ddos,ddos,CASE_00007433,CASE_00007624,0.736,1,3,0
37,192.168.1.31,192.168.1.184,36,1.0,1.0,ddos,ddos,CASE_00007443,CASE_00007617,0.754,1,3,0
37,192.168.1.31,192.168.1.190,1,1.0,1.0,ddos,ddos,CASE_00007539,CASE_00007539,0.7015,1,3,0
37,192.168.1.31,192.168.1.194,1,1.0,1.0,ddos,ddos,CASE_00007468,CASE_00007468,0.7015,1,2,0
37,192.168.1.31,192.168.1.195,6,1.0,1.0,ddos,ddos,CASE_00007422,CASE_00007634,0.7090000000000001,1,4,0
38,192.168.1.30,192.168.1.1,4,1.0,1.0,ddos,ddos,CASE_00007731,CASE_00007799,0.706,2,3,0
38,192.168.1.30,192.168.1.184,24,1.0,1.0,ddos,ddos,CASE_00007613,CASE_00007820,0.736,2,3,0
38,192.168.1.30,192.168.1.194,21,1.0,1.0,ddos,ddos,CASE_00007642,CASE_00007808,0.7315,2,2,1
38,192.168.1.30,192.168.1.195,5,1.0,1.0,ddos,ddos,CASE_00007614,CASE_00007787,0.7075,2,4,0
38,192.168.1.31,176.28.50.165,3,1.0,1.0,ddos,ddos,CASE_00007707,CASE_00007744,0.7044999999999999,1,3,0
38,192.168.1.31,192.168.1.1,67,1.0,1.0,ddos,ddos,CASE_00007615,CASE_00007816,0.8005,1,3,0
38,192.168.1.31,192.168.1.152,9,1.0,1.0,ddos,ddos,CASE_00007663,CASE_00007712,0.7135,1,3,0
38,192.168.1.31,192.168.1.184,28,1.0,1.0,ddos,ddos,CASE_00007670,CASE_00007834,0.742,1,3,0
38,192.168.1.31,192.168.1.194,6,1.0,1.0,ddos,ddos,CASE_00007616,CASE_00007833,0.7090000000000001,1,2,0
38,192.168.1.31,192.168.1.195,7,1.0,1.0,ddos,ddos,CASE_00007652,CASE_00007784,0.7104999999999999,1,4,0
38,192.168.1.32,192.168.1.1,5,1.0,1.0,xss,xss,CASE_00037966,CASE_00037950,0.7075,3,3,1
38,192.168.1.32,192.168.1.152,5,1.0,1.0,xss,xss,CASE_00037943,CASE_00037942,0.7075,3,3,1
38,192.168.1.32,192.168.1.190,5,1.0,1.0,xss,xss,CASE_00037945,CASE_00037949,0.7075,3,3,1
38,192.168.1.32,192.168.1.195,10,1.0,1.0,xss,xss,CASE_00037959,CASE_00037958,0.7150000000000001,3,4,0
38,192.168.1.32,52.28.231.150,1,1.0,1.0,xss,xss,CASE_00037951,CASE_00037951,0.7015,3,3,1
39,192.168.1.30,176.28.50.165,6,1.0,1.0,dos,"ddos,dos",CASE_00007841,CASE_00007999,0.7090000000000001,2,3,0
39,192.168.1.30,192.168.1.1,4,1.0,1.0,dos,"ddos,dos",CASE_00007887,CASE_00008048,0.706,2,3,0
39,192.168.1.30,192.168.1.152,22,1.0,1.0,dos,dos,CASE_00007951,CASE_00008030,0.7330000000000001,2,3,0
39,192.168.1.30,192.168.1.184,52,1.0,1.0,ddos,"ddos,dos",CASE_00007809,CASE_00007990,0.778,2,3,0
39,192.168.1.30,192.168.1.190,41,1.0,1.0,dos,dos,CASE_00007927,CASE_00008062,0.7615000000000001,2,3,0
39,192.168.1.30,192.168.1.193,16,1.0,1.0,dos,dos,CASE_00007933,CASE_00008019,0.724,2,5,0
39,192.168.1.30,192.168.1.194,18,1.0,1.0,dos,"ddos,dos",CASE_00007866,CASE_00008022,0.7270000000000001,2,2,1
39,192.168.1.30,192.168.1.195,3,1.0,1.0,ddos,"ddos,dos",CASE_00007865,CASE_00007980,0.7044999999999999,2,4,0
39,192.168.1.31,176.28.50.165,1,1.0,1.0,ddos,ddos,CASE_00007858,CASE_00007858,0.7015,1,3,0
39,192.168.1.31,192.168.1.1,14,1.0,1.0,ddos,"ddos,dos",CASE_00007868,CASE_00008000,0.7210000000000001,1,3,0
39,192.168.1.31,192.168.1.184,8,1.0,1.0,ddos,ddos,CASE_00007848,CASE_00007874,0.712,1,3,0
39,192.168.1.31,192.168.1.194,2,1.0,1.0,ddos,ddos,CASE_00007812,CASE_00007902,0.7030000000000001,1,2,0
39,192.168.1.31,192.168.1.195,7,1.0,1.0,ddos,ddos,CASE_00007813,CASE_00007903,0.7104999999999999,1,4,0
39,192.168.1.39,176.28.50.165,2,1.0,1.0,dos,dos,CASE_00007920,CASE_00008049,0.7030000000000001,2,3,0
39,192.168.1.39,192.168.1.152,2,1.0,1.0,dos,dos,CASE_00007918,CASE_00008001,0.7030000000000001,2,3,0
39,192.168.1.39,192.168.1.184,1,1.0,1.0,dos,dos,CASE_00008047,CASE_00008047,0.7015,2,3,0
39,192.168.1.39,35.156.66.156,1,1.0,1.0,dos,dos,CASE_00007960,CASE_00007960,0.7015,2,2,1
40,192.168.1.30,176.28.50.165,26,1.0,1.0,dos,dos,CASE_00008039,CASE_00008254,0.7390000000000001,2,3,0
40,192.168.1.30,18.195.161.8,2,1.0,1.0,dos,dos,CASE_00008050,CASE_00008102,0.7030000000000001,2,2,1
40,192.168.1.30,192.168.1.1,6,1.0,1.0,dos,dos,CASE_00008044,CASE_00008217,0.7090000000000001,2,3,0
40,192.168.1.30,192.168.1.152,37,1.0,1.0,dos,dos,CASE_00008031,CASE_00008246,0.7555000000000001,2,3,0
40,192.168.1.30,192.168.1.184,37,1.0,1.0,dos,dos,CASE_00008033,CASE_00008232,0.7555000000000001,2,3,0
40,192.168.1.30,192.168.1.190,34,1.0,1.0,dos,dos,CASE_00008051,CASE_00008222,0.7510000000000001,2,3,0
40,192.168.1.30,192.168.1.193,24,1.0,1.0,dos,dos,CASE_00008071,CASE_00008174,0.736,2,5,0
40,192.168.1.30,192.168.1.194,25,1.0,1.0,dos,dos,CASE_00008085,CASE_00008233,0.7375,2,2,1
40,192.168.1.31,192.168.1.1,4,1.0,1.0,dos,dos,CASE_00008045,CASE_00008209,0.706,1,3,0
40,192.168.1.39,176.28.50.165,1,1.0,1.0,dos,dos,CASE_00008216,CASE_00008216,0.7015,2,3,0
40,192.168.1.39,192.168.1.184,1,1.0,1.0,dos,dos,CASE_00008158,CASE_00008158,0.7015,2,3,0
40,192.168.1.39,192.168.1.190,1,1.0,1.0,dos,dos,CASE_00008046,CASE_00008046,0.7015,2,3,0
40,192.168.1.39,192.168.1.193,1,1.0,1.0,dos,dos,CASE_00008215,CASE_00008215,0.7015,2,5,0
40,192.168.1.39,192.168.1.195,1,1.0,1.0,dos,dos,CASE_00008100,CASE_00008100,0.7015,2,4,0
41,192.168.1.30,176.28.50.165,16,1.0,1.0,dos,dos,CASE_00008238,CASE_00008392,0.724,2,3,0
41,192.168.1.30,18.195.161.8,1,1.0,1.0,dos,dos,CASE_00008258,CASE_00008258,0.7015,2,2,1
41,192.168.1.30,192.168.1.1,2,1.0,1.0,dos,dos,CASE_00008354,CASE_00008407,0.7030000000000001,2,3,0
41,192.168.1.30,192.168.1.152,29,1.0,1.0,dos,dos,CASE_00008295,CASE_00008398,0.7435,2,3,0
41,192.168.1.30,192.168.1.184,21,1.0,1.0,dos,dos,CASE_00008279,CASE_00008388,0.7315,2,3,0
41,192.168.1.30,192.168.1.190,62,1.0,1.0,dos,dos,CASE_00008223,CASE_00008417,0.7929999999999999,2,3,0
41,192.168.1.30,192.168.1.193,37,1.0,1.0,dos,dos,CASE_00008226,CASE_00008438,0.7555000000000001,2,5,0
41,192.168.1.30,192.168.1.194,17,1.0,1.0,dos,dos,CASE_00008234,CASE_00008390,0.7255,2,2,1
41,192.168.1.30,192.168.1.195,1,1.0,1.0,dos,dos,CASE_00008285,CASE_00008285,0.7015,2,4,0
41,192.168.1.31,192.168.1.1,5,1.0,1.0,dos,dos,CASE_00008259,CASE_00008414,0.7075,1,3,0
41,192.168.1.39,176.28.50.165,2,1.0,1.0,dos,dos,CASE_00008260,CASE_00008306,0.7030000000000001,2,3,0
41,192.168.1.39,192.168.1.193,1,1.0,1.0,dos,dos,CASE_00008303,CASE_00008303,0.7015,2,5,0
