chain_id,start_window,end_window,n_windows,dominant_type,dominant_stage,total_events,mean_severity,max_severity,src_community,dst_community,involved_campaign_segments,persistence_score,representative_src_ip,representative_dst_ip,narrative
CHAIN_00189,63,63,1,injection,initial_access_or_exploitation,103,0.8545,0.8545,2,1,1,0.22618845854052388,192.168.1.30,52.59.177.21,"CHAIN_00189 represents a initial_access_or_exploitation campaign dominated by injection activity, spanning windows 63 to 63 across 1 windows. The campaign is primarily associated with source community 2 and target community 1, with representative communication from 192.168.1.30 to 52.59.177.21. It contains 103 aggregated suspicious events and has mean severity 0.8545."
CHAIN_00238,75,75,1,injection,initial_access_or_exploitation,165,0.8237500000000001,0.8237500000000001,1,3,1,0.2257798168704402,192.168.1.31,192.168.1.152,"CHAIN_00238 represents a initial_access_or_exploitation campaign dominated by injection activity, spanning windows 75 to 75 across 1 windows. The campaign is primarily associated with source community 1 and target community 3, with representative communication from 192.168.1.31 to 192.168.1.152. It contains 165 aggregated suspicious events and has mean severity 0.8238."
CHAIN_00208,67,67,1,injection,initial_access_or_exploitation,154,0.8155,0.8155,2,3,1,0.22273739845706797,192.168.1.30,192.168.1.152,"CHAIN_00208 represents a initial_access_or_exploitation campaign dominated by injection activity, spanning windows 67 to 67 across 1 windows. The campaign is primarily associated with source community 2 and target community 3, with representative communication from 192.168.1.30 to 192.168.1.152. It contains 154 aggregated suspicious events and has mean severity 0.8155."
CHAIN_00725,145,145,1,ransomware,persistence_or_manipulation,151,0.8105129925516565,0.8105129925516565,5,5,1,0.22128560083334292,192.168.1.33,192.168.1.193,"CHAIN_00725 represents a persistence_or_manipulation campaign dominated by ransomware activity, spanning windows 145 to 145 across 1 windows. The campaign is primarily associated with source community 5 and target community 5, with representative communication from 192.168.1.33 to 192.168.1.193. It contains 151 aggregated suspicious events and has mean severity 0.8105."
CHAIN_00013,29,29,1,ddos,disruption_or_impact,183,0.7915,0.7915,2,3,1,0.22036059245595843,192.168.1.30,192.168.1.190,"CHAIN_00013 represents a disruption_or_impact campaign dominated by ddos activity, spanning windows 29 to 29 across 1 windows. The campaign is primarily associated with source community 2 and target community 3, with representative communication from 192.168.1.30 to 192.168.1.190. It contains 183 aggregated suspicious events and has mean severity 0.7915."
CHAIN_00019,31,31,1,ddos,disruption_or_impact,179,0.7895,0.7895,2,3,1,0.21948153121473213,192.168.1.30,192.168.1.1,"CHAIN_00019 represents a disruption_or_impact campaign dominated by ddos activity, spanning windows 31 to 31 across 1 windows. The campaign is primarily associated with source community 2 and target community 3, with representative communication from 192.168.1.30 to 192.168.1.1. It contains 179 aggregated suspicious events and has mean severity 0.7895."
CHAIN_00005,19,19,1,ddos,disruption_or_impact,134,0.8005,0.8005,2,3,1,0.21720572861457296,192.168.1.30,192.168.1.184,"CHAIN_00005 represents a disruption_or_impact campaign dominated by ddos activity, spanning windows 19 to 19 across 1 windows. The campaign is primarily associated with source community 2 and target community 3, with representative communication from 192.168.1.30 to 192.168.1.184. It contains 134 aggregated suspicious events and has mean severity 0.8005."
CHAIN_00452,108,108,1,ransomware,persistence_or_manipulation,167,0.7835,0.7835,5,5,1,0.21684434749105333,192.168.1.33,192.168.1.193,"CHAIN_00452 represents a persistence_or_manipulation campaign dominated by ransomware activity, spanning windows 108 to 108 across 1 windows. The campaign is primarily associated with source community 5 and target community 5, with representative communication from 192.168.1.33 to 192.168.1.193. It contains 167 aggregated suspicious events and has mean severity 0.7835."
CHAIN_00023,32,32,1,ddos,disruption_or_impact,159,0.7795,0.7795,2,3,1,0.21508622500860078,192.168.1.30,192.168.1.1,"CHAIN_00023 represents a disruption_or_impact campaign dominated by ddos activity, spanning windows 32 to 32 across 1 windows. The campaign is primarily associated with source community 2 and target community 3, with representative communication from 192.168.1.30 to 192.168.1.1. It contains 159 aggregated suspicious events and has mean severity 0.7795."
CHAIN_00431,100,100,1,ransomware,persistence_or_manipulation,177,0.766375,0.766375,5,5,1,0.21401359150320992,192.168.1.33,192.168.1.193,"CHAIN_00431 represents a persistence_or_manipulation campaign dominated by ransomware activity, spanning windows 100 to 100 across 1 windows. The campaign is primarily associated with source community 5 and target community 5, with representative communication from 192.168.1.33 to 192.168.1.193. It contains 177 aggregated suspicious events and has mean severity 0.7664."
CHAIN_00720,144,144,1,ransomware,persistence_or_manipulation,124,0.7904737544804652,0.7904737544804652,5,5,1,0.21386574698434027,192.168.1.33,192.168.1.193,"CHAIN_00720 represents a persistence_or_manipulation campaign dominated by ransomware activity, spanning windows 144 to 144 across 1 windows. The campaign is primarily associated with source community 5 and target community 5, with representative communication from 192.168.1.33 to 192.168.1.193. It contains 124 aggregated suspicious events and has mean severity 0.7905."
CHAIN_00185,62,62,1,injection,initial_access_or_exploitation,176,0.766,0.766,2,3,1,0.21382223528381245,192.168.1.30,192.168.1.152,"CHAIN_00185 represents a initial_access_or_exploitation campaign dominated by injection activity, spanning windows 62 to 62 across 1 windows. The campaign is primarily associated with source community 2 and target community 3, with representative communication from 192.168.1.30 to 192.168.1.152. It contains 176 aggregated suspicious events and has mean severity 0.7660."
CHAIN_00235,74,74,1,injection,initial_access_or_exploitation,176,0.766,0.766,1,3,1,0.21382223528381245,192.168.1.31,192.168.1.190,"CHAIN_00235 represents a initial_access_or_exploitation campaign dominated by injection activity, spanning windows 74 to 74 across 1 windows. The campaign is primarily associated with source community 1 and target community 3, with representative communication from 192.168.1.31 to 192.168.1.190. It contains 176 aggregated suspicious events and has mean severity 0.7660."
CHAIN_00440,103,103,1,ransomware,persistence_or_manipulation,172,0.7645,0.7645,5,5,1,0.21305681040622254,192.168.1.33,192.168.1.193,"CHAIN_00440 represents a persistence_or_manipulation campaign dominated by ransomware activity, spanning windows 103 to 103 across 1 windows. The campaign is primarily associated with source community 5 and target community 5, with representative communication from 192.168.1.33 to 192.168.1.193. It contains 172 aggregated suspicious events and has mean severity 0.7645."
CHAIN_00443,104,104,1,ransomware,persistence_or_manipulation,172,0.7645,0.7645,5,5,1,0.21305681040622254,192.168.1.33,192.168.1.193,"CHAIN_00443 represents a persistence_or_manipulation campaign dominated by ransomware activity, spanning windows 104 to 104 across 1 windows. The campaign is primarily associated with source community 5 and target community 5, with representative communication from 192.168.1.33 to 192.168.1.193. It contains 172 aggregated suspicious events and has mean severity 0.7645."
CHAIN_00458,110,110,1,ransomware,persistence_or_manipulation,172,0.7645,0.7645,5,5,1,0.21305681040622254,192.168.1.37,192.168.1.193,"CHAIN_00458 represents a persistence_or_manipulation campaign dominated by ransomware activity, spanning windows 110 to 110 across 1 windows. The campaign is primarily associated with source community 5 and target community 5, with representative communication from 192.168.1.37 to 192.168.1.193. It contains 172 aggregated suspicious events and has mean severity 0.7645."
CHAIN_00461,111,111,1,ransomware,persistence_or_manipulation,171,0.7641249999999999,0.7641249999999999,5,5,1,0.21286545418682506,192.168.1.37,192.168.1.193,"CHAIN_00461 represents a persistence_or_manipulation campaign dominated by ransomware activity, spanning windows 111 to 111 across 1 windows. The campaign is primarily associated with source community 5 and target community 5, with representative communication from 192.168.1.37 to 192.168.1.193. It contains 171 aggregated suspicious events and has mean severity 0.7641."
CHAIN_00437,102,102,1,ransomware,persistence_or_manipulation,170,0.76375,0.76375,5,5,1,0.2126740979674276,192.168.1.37,192.168.1.193,"CHAIN_00437 represents a persistence_or_manipulation campaign dominated by ransomware activity, spanning windows 102 to 102 across 1 windows. The campaign is primarily associated with source community 5 and target community 5, with representative communication from 192.168.1.37 to 192.168.1.193. It contains 170 aggregated suspicious events and has mean severity 0.7638."
CHAIN_00694,135,135,1,xss,initial_access_or_exploitation,185,0.74625,0.74625,3,3,1,0.21028875944020792,192.168.1.32,176.28.50.165,"CHAIN_00694 represents a initial_access_or_exploitation campaign dominated by xss activity, spanning windows 135 to 135 across 1 windows. The campaign is primarily associated with source community 3 and target community 3, with representative communication from 192.168.1.32 to 176.28.50.165. It contains 185 aggregated suspicious events and has mean severity 0.7462."
CHAIN_00700,138,138,1,xss,initial_access_or_exploitation,184,0.746,0.746,3,3,1,0.2101258123117195,192.168.1.32,176.28.50.165,"CHAIN_00700 represents a initial_access_or_exploitation campaign dominated by xss activity, spanning windows 138 to 138 across 1 windows. The campaign is primarily associated with source community 3 and target community 3, with representative communication from 192.168.1.32 to 176.28.50.165. It contains 184 aggregated suspicious events and has mean severity 0.7460."
CHAIN_00228,72,72,1,injection,initial_access_or_exploitation,67,0.8005,0.8005,1,1,1,0.21009508918766928,192.168.1.31,52.59.177.21,"CHAIN_00228 represents a initial_access_or_exploitation campaign dominated by injection activity, spanning windows 72 to 72 across 1 windows. The campaign is primarily associated with source community 1 and target community 1, with representative communication from 192.168.1.31 to 52.59.177.21. It contains 67 aggregated suspicious events and has mean severity 0.8005."
CHAIN_00455,109,109,1,ransomware,persistence_or_manipulation,155,0.7581249999999999,0.7581249999999999,5,5,1,0.20980375467646542,192.168.1.37,192.168.1.193,"CHAIN_00455 represents a persistence_or_manipulation campaign dominated by ransomware activity, spanning windows 109 to 109 across 1 windows. The campaign is primarily associated with source community 5 and target community 5, with representative communication from 192.168.1.37 to 192.168.1.193. It contains 155 aggregated suspicious events and has mean severity 0.7581."
CHAIN_00217,69,69,1,injection,initial_access_or_exploitation,66,0.7989999999999999,0.7989999999999999,1,4,1,0.20964805115008997,192.168.1.31,192.168.1.195,"CHAIN_00217 represents a initial_access_or_exploitation campaign dominated by injection activity, spanning windows 69 to 69 across 1 windows. The campaign is primarily associated with source community 1 and target community 4, with representative communication from 192.168.1.31 to 192.168.1.195. It contains 66 aggregated suspicious events and has mean severity 0.7990."
CHAIN_00698,137,137,1,xss,initial_access_or_exploitation,183,0.7392142857142857,0.7392142857142857,3,3,1,0.20847747557284155,192.168.1.32,176.28.50.165,"CHAIN_00698 represents a initial_access_or_exploitation campaign dominated by xss activity, spanning windows 137 to 137 across 1 windows. The campaign is primarily associated with source community 3 and target community 3, with representative communication from 192.168.1.32 to 176.28.50.165. It contains 183 aggregated suspicious events and has mean severity 0.7392."
CHAIN_00179,61,61,1,injection,initial_access_or_exploitation,63,0.7945,0.7945,1,4,1,0.2083069370373521,192.168.1.31,192.168.1.195,"CHAIN_00179 represents a initial_access_or_exploitation campaign dominated by injection activity, spanning windows 61 to 61 across 1 windows. The campaign is primarily associated with source community 1 and target community 4, with representative communication from 192.168.1.31 to 192.168.1.195. It contains 63 aggregated suspicious events and has mean severity 0.7945."
CHAIN_00449,107,107,1,ransomware,persistence_or_manipulation,146,0.75475,0.75475,5,5,1,0.20808154870188814,192.168.1.37,192.168.1.193,"CHAIN_00449 represents a persistence_or_manipulation campaign dominated by ransomware activity, spanning windows 107 to 107 across 1 windows. The campaign is primarily associated with source community 5 and target community 5, with representative communication from 192.168.1.37 to 192.168.1.193. It contains 146 aggregated suspicious events and has mean severity 0.7548."
CHAIN_00464,112,112,1,ransomware,persistence_or_manipulation,146,0.75475,0.75475,5,5,1,0.20808154870188814,192.168.1.33,192.168.1.193,"CHAIN_00464 represents a persistence_or_manipulation campaign dominated by ransomware activity, spanning windows 112 to 112 across 1 windows. The campaign is primarily associated with source community 5 and target community 5, with representative communication from 192.168.1.33 to 192.168.1.193. It contains 146 aggregated suspicious events and has mean severity 0.7548."
CHAIN_00475,113,113,1,ransomware,persistence_or_manipulation,127,0.7635,0.7635,5,5,1,0.2080537350787906,192.168.1.37,192.168.1.193,"CHAIN_00475 represents a persistence_or_manipulation campaign dominated by ransomware activity, spanning windows 113 to 113 across 1 windows. The campaign is primarily associated with source community 5 and target community 5, with representative communication from 192.168.1.37 to 192.168.1.193. It contains 127 aggregated suspicious events and has mean severity 0.7635."
CHAIN_00428,99,99,1,ransomware,persistence_or_manipulation,145,0.754375,0.754375,5,5,1,0.2078901924824907,192.168.1.37,192.168.1.193,"CHAIN_00428 represents a persistence_or_manipulation campaign dominated by ransomware activity, spanning windows 99 to 99 across 1 windows. The campaign is primarily associated with source community 5 and target community 5, with representative communication from 192.168.1.37 to 192.168.1.193. It contains 145 aggregated suspicious events and has mean severity 0.7544."
CHAIN_00110,47,47,1,dos,disruption_or_impact,61,0.7915000000000001,0.7915000000000001,2,5,1,0.20741286096219352,192.168.1.30,192.168.1.193,"CHAIN_00110 represents a disruption_or_impact campaign dominated by dos activity, spanning windows 47 to 47 across 1 windows. The campaign is primarily associated with source community 2 and target community 5, with representative communication from 192.168.1.30 to 192.168.1.193. It contains 61 aggregated suspicious events and has mean severity 0.7915."
CHAIN_00696,136,136,1,xss,initial_access_or_exploitation,176,0.7377142857142857,0.7377142857142857,3,3,1,0.207393663855241,192.168.1.32,176.28.50.165,"CHAIN_00696 represents a initial_access_or_exploitation campaign dominated by xss activity, spanning windows 136 to 136 across 1 windows. The campaign is primarily associated with source community 3 and target community 3, with representative communication from 192.168.1.32 to 176.28.50.165. It contains 176 aggregated suspicious events and has mean severity 0.7377."
CHAIN_00434,101,101,1,ransomware,persistence_or_manipulation,142,0.75325,0.75325,5,5,1,0.20731612382429823,192.168.1.33,192.168.1.193,"CHAIN_00434 represents a persistence_or_manipulation campaign dominated by ransomware activity, spanning windows 101 to 101 across 1 windows. The campaign is primarily associated with source community 5 and target community 5, with representative communication from 192.168.1.33 to 192.168.1.193. It contains 142 aggregated suspicious events and has mean severity 0.7532."
CHAIN_00706,141,141,1,xss,initial_access_or_exploitation,181,0.7339375,0.7339375,3,3,1,0.20706594819898166,192.168.1.32,176.28.50.165,"CHAIN_00706 represents a initial_access_or_exploitation campaign dominated by xss activity, spanning windows 141 to 141 across 1 windows. The campaign is primarily associated with source community 3 and target community 3, with representative communication from 192.168.1.32 to 176.28.50.165. It contains 181 aggregated suspicious events and has mean severity 0.7339."
CHAIN_00231,73,73,1,injection,initial_access_or_exploitation,96,0.772,0.772,1,1,1,0.20669555591383248,192.168.1.31,52.59.177.21,"CHAIN_00231 represents a initial_access_or_exploitation campaign dominated by injection activity, spanning windows 73 to 73 across 1 windows. The campaign is primarily associated with source community 1 and target community 1, with representative communication from 192.168.1.31 to 52.59.177.21. It contains 96 aggregated suspicious events and has mean severity 0.7720."
CHAIN_00049,37,37,1,ddos,disruption_or_impact,149,0.7447,0.7447,1,3,1,0.20611584463280785,192.168.1.31,192.168.1.1,"CHAIN_00049 represents a disruption_or_impact campaign dominated by ddos activity, spanning windows 37 to 37 across 1 windows. The campaign is primarily associated with source community 1 and target community 3, with representative communication from 192.168.1.31 to 192.168.1.1. It contains 149 aggregated suspicious events and has mean severity 0.7447."
CHAIN_00127,50,50,1,dos,disruption_or_impact,58,0.7869999999999999,0.7869999999999999,2,5,1,0.2060717468494556,192.168.1.30,192.168.1.193,"CHAIN_00127 represents a disruption_or_impact campaign dominated by dos activity, spanning windows 50 to 50 across 1 windows. The campaign is primarily associated with source community 2 and target community 5, with representative communication from 192.168.1.30 to 192.168.1.193. It contains 58 aggregated suspicious events and has mean severity 0.7870."
CHAIN_00222,70,70,1,injection,initial_access_or_exploitation,135,0.750625,0.750625,1,3,1,0.20597663028851587,192.168.1.31,192.168.1.190,"CHAIN_00222 represents a initial_access_or_exploitation campaign dominated by injection activity, spanning windows 70 to 70 across 1 windows. The campaign is primarily associated with source community 1 and target community 3, with representative communication from 192.168.1.31 to 192.168.1.190. It contains 135 aggregated suspicious events and has mean severity 0.7506."
CHAIN_00704,140,140,1,xss,initial_access_or_exploitation,173,0.7324375,0.7324375,3,3,1,0.20587600753471091,192.168.1.32,176.28.50.165,"CHAIN_00704 represents a initial_access_or_exploitation campaign dominated by xss activity, spanning windows 140 to 140 across 1 windows. The campaign is primarily associated with source community 3 and target community 3, with representative communication from 192.168.1.32 to 176.28.50.165. It contains 173 aggregated suspicious events and has mean severity 0.7324."
CHAIN_00692,134,134,1,xss,initial_access_or_exploitation,175,0.7262500000000001,0.7262500000000001,3,3,1,0.20468201542805134,192.168.1.32,176.28.50.165,"CHAIN_00692 represents a initial_access_or_exploitation campaign dominated by xss activity, spanning windows 134 to 134 across 1 windows. The campaign is primarily associated with source community 3 and target community 3, with representative communication from 192.168.1.32 to 176.28.50.165. It contains 175 aggregated suspicious events and has mean severity 0.7263."
CHAIN_00527,118,118,1,scanning,reconnaissance,111,0.7555000000000001,0.7555000000000001,2,3,1,0.20453749011388556,192.168.1.30,192.168.1.186,"CHAIN_00527 represents a reconnaissance campaign dominated by scanning activity, spanning windows 118 to 118 across 1 windows. The campaign is primarily associated with source community 2 and target community 3, with representative communication from 192.168.1.30 to 192.168.1.186. It contains 111 aggregated suspicious events and has mean severity 0.7555."
CHAIN_00702,139,139,1,xss,initial_access_or_exploitation,177,0.7241363636363637,0.7241363636363637,3,3,1,0.2044139014205653,192.168.1.32,176.28.50.165,"CHAIN_00702 represents a initial_access_or_exploitation campaign dominated by xss activity, spanning windows 139 to 139 across 1 windows. The campaign is primarily associated with source community 3 and target community 3, with representative communication from 192.168.1.32 to 176.28.50.165. It contains 177 aggregated suspicious events and has mean severity 0.7241."
CHAIN_00229,72,72,1,injection,initial_access_or_exploitation,126,0.74725,0.74725,1,3,1,0.2042544243139386,192.168.1.31,192.168.1.152,"CHAIN_00229 represents a initial_access_or_exploitation campaign dominated by injection activity, spanning windows 72 to 72 across 1 windows. The campaign is primarily associated with source community 1 and target community 3, with representative communication from 192.168.1.31 to 192.168.1.152. It contains 126 aggregated suspicious events and has mean severity 0.7472."
CHAIN_00037,35,35,1,ddos,disruption_or_impact,108,0.754,0.754,1,3,1,0.20387819418296582,192.168.1.31,192.168.1.184,"CHAIN_00037 represents a disruption_or_impact campaign dominated by ddos activity, spanning windows 35 to 35 across 1 windows. The campaign is primarily associated with source community 1 and target community 3, with representative communication from 192.168.1.31 to 192.168.1.184. It contains 108 aggregated suspicious events and has mean severity 0.7540."
CHAIN_00223,70,70,1,injection,initial_access_or_exploitation,53,0.7795000000000001,0.7795000000000001,1,4,1,0.20383655666155914,192.168.1.31,192.168.1.195,"CHAIN_00223 represents a initial_access_or_exploitation campaign dominated by injection activity, spanning windows 70 to 70 across 1 windows. The campaign is primarily associated with source community 1 and target community 4, with representative communication from 192.168.1.31 to 192.168.1.195. It contains 53 aggregated suspicious events and has mean severity 0.7795."
CHAIN_00537,119,119,1,scanning,reconnaissance,122,0.74575,0.74575,2,3,1,0.20348899943634868,192.168.1.30,192.168.1.186,"CHAIN_00537 represents a reconnaissance campaign dominated by scanning activity, spanning windows 119 to 119 across 1 windows. The campaign is primarily associated with source community 2 and target community 3, with representative communication from 192.168.1.30 to 192.168.1.186. It contains 122 aggregated suspicious events and has mean severity 0.7458."
CHAIN_00142,53,53,1,dos,disruption_or_impact,51,0.7765,0.7765,2,5,1,0.20294248058640055,192.168.1.30,192.168.1.193,"CHAIN_00142 represents a disruption_or_impact campaign dominated by dos activity, spanning windows 53 to 53 across 1 windows. The campaign is primarily associated with source community 2 and target community 5, with representative communication from 192.168.1.30 to 192.168.1.193. It contains 51 aggregated suspicious events and has mean severity 0.7765."
CHAIN_00251,77,77,1,injection,initial_access_or_exploitation,119,0.7446250000000001,0.7446250000000001,2,3,1,0.2029149307781563,192.168.1.30,192.168.1.190,"CHAIN_00251 represents a initial_access_or_exploitation campaign dominated by injection activity, spanning windows 77 to 77 across 1 windows. The campaign is primarily associated with source community 2 and target community 3, with representative communication from 192.168.1.30 to 192.168.1.190. It contains 119 aggregated suspicious events and has mean severity 0.7446."
CHAIN_00100,45,45,1,dos,disruption_or_impact,50,0.7749999999999999,0.7749999999999999,2,5,1,0.20249544254882124,192.168.1.30,192.168.1.193,"CHAIN_00100 represents a disruption_or_impact campaign dominated by dos activity, spanning windows 45 to 45 across 1 windows. The campaign is primarily associated with source community 2 and target community 5, with representative communication from 192.168.1.30 to 192.168.1.193. It contains 50 aggregated suspicious events and has mean severity 0.7750."
CHAIN_00103,46,46,1,dos,disruption_or_impact,141,0.7302142857142858,0.7302142857142858,2,3,1,0.20197460526723846,192.168.1.30,192.168.1.152,"CHAIN_00103 represents a disruption_or_impact campaign dominated by dos activity, spanning windows 46 to 46 across 1 windows. The campaign is primarily associated with source community 2 and target community 3, with representative communication from 192.168.1.30 to 192.168.1.152. It contains 141 aggregated suspicious events and has mean severity 0.7302."
CHAIN_00113,48,48,1,dos,disruption_or_impact,146,0.727375,0.727375,2,3,1,0.20185995779279722,192.168.1.30,192.168.1.152,"CHAIN_00113 represents a disruption_or_impact campaign dominated by dos activity, spanning windows 48 to 48 across 1 windows. The campaign is primarily associated with source community 2 and target community 3, with representative communication from 192.168.1.30 to 192.168.1.152. It contains 146 aggregated suspicious events and has mean severity 0.7274."
CHAIN_00076,41,41,1,dos,disruption_or_impact,132,0.733,0.733,2,3,1,0.20165256163032347,192.168.1.30,192.168.1.190,"CHAIN_00076 represents a disruption_or_impact campaign dominated by dos activity, spanning windows 41 to 41 across 1 windows. The campaign is primarily associated with source community 2 and target community 3, with representative communication from 192.168.1.30 to 192.168.1.190. It contains 132 aggregated suspicious events and has mean severity 0.7330."
CHAIN_00071,40,40,1,dos,disruption_or_impact,143,0.7268125000000001,0.7268125000000001,2,3,1,0.20141373004369573,192.168.1.30,192.168.1.184,"CHAIN_00071 represents a disruption_or_impact campaign dominated by dos activity, spanning windows 40 to 40 across 1 windows. The campaign is primarily associated with source community 2 and target community 3, with representative communication from 192.168.1.30 to 192.168.1.184. It contains 143 aggregated suspicious events and has mean severity 0.7268."
CHAIN_00027,33,33,1,ddos,disruption_or_impact,110,0.74125,0.74125,2,3,1,0.20119272480357897,192.168.1.30,192.168.1.1,"CHAIN_00027 represents a disruption_or_impact campaign dominated by ddos activity, spanning windows 33 to 33 across 1 windows. The campaign is primarily associated with source community 2 and target community 3, with representative communication from 192.168.1.30 to 192.168.1.1. It contains 110 aggregated suspicious events and has mean severity 0.7412."
CHAIN_00034,34,34,1,ddos,disruption_or_impact,109,0.740875,0.740875,2,3,1,0.20100136858418147,192.168.1.30,192.168.1.184,"CHAIN_00034 represents a disruption_or_impact campaign dominated by ddos activity, spanning windows 34 to 34 across 1 windows. The campaign is primarily associated with source community 2 and target community 3, with representative communication from 192.168.1.30 to 192.168.1.184. It contains 109 aggregated suspicious events and has mean severity 0.7409."
